,Distributed Energy,Global Ambition,National Trends
investment_2030,12421811654.32417,14915239970.15294,15028070072.27177
operational_2030,1025618969162.494,1376649528886.638,801509030807.46
total_2030,1038040780816.8182,1391564768856.7908,816537100879.7317
