,Distributed Energy,Global Ambition,National Trends
investment_2030,12439326241.40329,14075602276.30793,14800456272.28637
operational_2030,1024346438836.714,1375641278890.418,800844836137.3668
total_2030,1036785765078.1173,1389716881166.7258,815645292409.6532
