,Distributed Energy,Global Ambition,National Trends
investment_2030,16133839328.61581,21040183223.61771,20584561478.23716
operational_2030,1037922424443.712,1395368195086.208,807422319200.6663
total_2030,1054056263772.3279,1416408378309.8257,828006880678.9034
