country,Distributed Energy,Global Ambition,National Trends
NO,3.289 (20.38),4.391 (20.87),4.220 (20.50)
DK,1.878 (11.64),2.433 (11.56),1.825 (8.87)
DE,3.042 (18.86),3.288 (15.63),3.973 (19.30)
UK,4.630 (28.70),6.678 (31.74),6.220 (30.22)
NL,2.540 (15.75),3.253 (15.46),3.210 (15.59)
BE,0.754 (4.68),0.997 (4.74),1.136 (5.52)
