country,Distributed Energy,Global Ambition,National Trends
NO,2.109 (20.13),1.469 (12.13),2.386 (18.58)
DK,0.965 (9.21),1.369 (11.30),1.198 (9.33)
DE,2.091 (19.95),1.792 (14.80),2.367 (18.43)
UK,3.257 (31.09),4.068 (33.58),4.213 (32.81)
NL,1.605 (15.31),2.960 (24.44),1.891 (14.73)
BE,0.451 (4.31),0.456 (3.76),0.785 (6.12)
