country,Distributed Energy,Global Ambition,National Trends
NO,3.346 (22.16),3.986 (22.52),3.942 (22.67)
DK,1.294 (8.57),1.654 (9.35),1.198 (6.89)
DE,3.068 (20.32),2.663 (15.05),3.301 (18.98)
UK,4.323 (28.63),5.691 (32.16),5.208 (29.95)
NL,2.285 (15.13),2.967 (16.76),2.592 (14.91)
BE,0.785 (5.20),0.737 (4.17),1.149 (6.61)
