country,Distributed Energy,Global Ambition,National Trends
NO,0.829 (17.85),0.873 (10.75),0.553 (6.48)
DK,0.601 (12.93),1.328 (16.35),1.198 (14.03)
DE,0.849 (18.29),1.169 (14.40),1.464 (17.14)
UK,1.622 (34.91),2.961 (36.47),2.928 (34.29)
NL,0.293 (6.31),1.275 (15.70),1.615 (18.91)
BE,0.451 (9.72),0.513 (6.32),0.781 (9.15)
