country,Distributed Energy,Global Ambition,National Trends
NO,2.987 (24.14),3.317 (21.80),3.679 (23.73)
DK,0.969 (7.83),1.369 (9.00),1.198 (7.73)
DE,2.441 (19.73),2.115 (13.90),2.643 (17.05)
UK,3.608 (29.16),5.001 (32.86),4.914 (31.70)
NL,1.917 (15.49),2.679 (17.60),2.242 (14.46)
BE,0.451 (3.65),0.737 (4.84),0.829 (5.35)
