,2030
0,44923948.3456739
1,87463109.6778871
2,0.0
3,0.0
4,0.0
5,1920106557.0713978
6,640035519.0237992
7,44923948.3456739
8,44923948.3456739
9,174926219.3557742
10,174926219.3557742
11,1920106557.0713978
12,0.0
13,44923948.3456739
14,437315548.3894355
15,2466120935.585822
16,44923948.3456739
17,44923948.3456739
18,218657774.19471776
19,218657774.19471776
20,1920106557.0713978
21,26954369.007404335
22,131194664.51683064
23,640035519.0237992
24,44923948.3456739
25,44923948.3456739
26,437315548.3894355
27,437315548.3894355
28,0.0
29,0.0
30,0.0
31,0.0
32,87463109.6778871
33,0.0
34,0.0
35,218657774.19471776
36,43731554.83894355
37,87463109.6778871
38,87463109.6778871
39,131194664.51683065
40,87463109.6778871
