,Distributed Energy,Global Ambition,National Trends
investment_2030,17071534444.4309,19322014672.49976,19519194066.39119
operational_2030,1026778259670.51,1380391192348.507,802219131827.7141
total_2030,1043849794114.9409,1399713207021.0068,821738325894.1053
