,Distributed Energy,Global Ambition,National Trends
investment_2030,15818687109.88894,18217474287.46154,18942546290.78111
operational_2030,1023242493561.757,1371543463409.885,799241323217.1382
total_2030,1039061180671.6459,1389760937697.3464,818183869507.9193
