,Distributed Energy,Global Ambition,National Trends
investment_2030,16440376504.25655,18286318487.08926,18897729553.25512
operational_2030,1025192019001.389,1376505829576.781,801119685042.8059
total_2030,1041632395505.6456,1394792148063.8704,820017414596.061
