,2030
0,44923948.3456739
1,43731554.83894355
2,0.0
3,0.0
4,1920106557.071398
5,1920106557.0713978
6,0.0
7,8984789.669134764
8,40431553.511106506
9,87463109.67788704
10,174926219.35577425
11,1280071038.0475984
12,0.0
13,44923948.3456739
14,437315548.3894355
15,1280071038.0475984
16,26954369.007404335
17,13477184.503702167
18,131194664.51683065
19,131194664.51683065
20,640035519.0237992
21,17969579.338269588
22,87463109.6778871
23,640035519.0237994
24,44923948.3456739
25,44923948.3456739
26,349852438.7115485
27,349852438.7115485
28,0.0
29,0.0
30,0.0
31,0.0
32,131194664.51683065
33,0.0
34,43731554.83894355
35,174926219.3557742
36,0.0
37,131194664.51683067
38,87463109.6778869
39,43731554.83894355
40,87463109.6778871
