,2030
0,44923948.3456739
1,43731554.83894353
2,0.0
3,0.0
4,640035519.0237992
5,640035519.0237992
6,0.0
7,0.0
8,35939158.676539116
9,87463109.6778871
10,131194664.51683065
11,640035519.0237992
12,0.0
13,44923948.3456739
14,349852438.7115484
15,0.0
16,13477184.503702167
17,8984789.669134779
18,87463109.6778871
19,87463109.67788707
20,0.0
21,17969579.338269588
22,87463109.6778871
23,640035519.0237992
24,44923948.3456739
25,44923948.3456739
26,218657774.19471776
27,218657774.19471776
28,0.0
29,0.0
30,0.0
31,0.0
32,12993428.366103236
33,25986856.73220647
34,90953998.56272265
35,25986856.732206445
36,25986856.732206464
37,25986856.73220644
38,38980285.09830972
39,51973713.46441294
40,87463109.6778871
41,0.0
42,0.0
43,43731554.83894355
44,0.0
45,43731554.83894355
46,0.0
47,0.0
48,43731554.83894355
