index,wind_BE,wind_DE,wind_DK,wind_NL,wind_NO,wind_UK
101,0.5792,0.4353,0.2553,0.5812,0.0321,0.1106
102,0.8554,0.4285,0.2292,0.73,0.0323,0.1283
103,0.9104,0.4166,0.1961,0.746,0.034,0.1677
104,0.9032,0.4045,0.1553,0.7306,0.0353,0.2472
105,0.8837,0.3871,0.1062,0.7121,0.0354,0.3252
106,0.8632,0.3576,0.0606,0.6872,0.0323,0.3115
107,0.8309,0.3164,0.0292,0.6477,0.0282,0.2617
108,0.7963,0.2718,0.013,0.6042,0.0244,0.2197
109,0.766,0.2321,0.0063,0.569,0.0246,0.1784
110,0.7417,0.2073,0.0042,0.543,0.0307,0.1575
111,0.7277,0.1984,0.005,0.5312,0.0535,0.1575
112,0.7128,0.1858,0.0082,0.5204,0.0927,0.1739
113,0.6953,0.1579,0.0143,0.4983,0.1325,0.196
114,0.6702,0.1175,0.025,0.4601,0.1803,0.2167
115,0.6218,0.0792,0.0393,0.4067,0.252,0.2301
116,0.5639,0.0476,0.0566,0.3513,0.3277,0.2269
117,0.5158,0.0236,0.0804,0.3079,0.4311,0.2096
118,0.4884,0.0115,0.113,0.2832,0.5406,0.1847
119,0.4775,0.006,0.1456,0.2651,0.6303,0.155
120,0.4657,0.0084,0.175,0.2498,0.6905,0.1168
121,0.4517,0.0127,0.1961,0.24,0.7256,0.0809
122,0.4388,0.0191,0.2234,0.2318,0.7476,0.059
123,0.4199,0.0273,0.2662,0.2197,0.7735,0.0425
124,0.3964,0.0369,0.3321,0.2034,0.8016,0.0266
125,0.3704,0.0486,0.4031,0.186,0.8208,0.0176
126,0.3435,0.0633,0.4669,0.1688,0.826,0.0156
127,0.3143,0.0809,0.5137,0.1533,0.8255,0.0107
128,0.283,0.0973,0.5364,0.1401,0.8062,0.0028
129,0.2451,0.1197,0.578,0.1285,0.7842,0.0001
130,0.2071,0.1491,0.6491,0.118,0.8145,0.0
131,0.1739,0.1845,0.7198,0.1119,0.8133,0.0
132,0.1411,0.225,0.7826,0.1046,0.7158,0.0
133,0.1099,0.2693,0.8221,0.1026,0.6624,0.0
134,0.0994,0.3162,0.8488,0.1142,0.7708,0.0
135,0.0915,0.3708,0.8708,0.1307,0.8326,0.0004
136,0.0783,0.431,0.8805,0.1463,0.8607,0.0024
137,0.058,0.4941,0.8802,0.1619,0.8659,0.0044
138,0.0354,0.566,0.8726,0.1798,0.8613,0.0046
139,0.0169,0.6333,0.8379,0.1984,0.8492,0.0059
140,0.0062,0.6808,0.7789,0.2155,0.8429,0.0083
141,0.0044,0.7166,0.7139,0.2323,0.8352,0.0134
142,0.0049,0.7274,0.6374,0.2424,0.8174,0.0219
143,0.0165,0.703,0.6661,0.251,0.8218,0.0319
144,0.0402,0.6423,0.7271,0.2434,0.825,0.0385
145,0.0687,0.5767,0.7681,0.2199,0.8535,0.0393
146,0.0919,0.5358,0.7795,0.2135,0.8482,0.0301
147,0.1102,0.559,0.7942,0.2399,0.8236,0.0209
148,0.1181,0.5626,0.7819,0.2383,0.7861,0.0194
149,0.1198,0.5239,0.7751,0.2315,0.7453,0.0266
150,0.1233,0.5139,0.738,0.2391,0.6951,0.0397
151,0.1159,0.5022,0.679,0.2322,0.6204,0.0562
152,0.1022,0.4841,0.5998,0.2157,0.55,0.0732
153,0.0888,0.4727,0.5187,0.2074,0.464,0.082
154,0.0837,0.4604,0.4357,0.1996,0.3596,0.0721
155,0.0962,0.4433,0.3833,0.2027,0.2845,0.0553
156,0.1096,0.4224,0.3407,0.2086,0.2317,0.0393
157,0.1293,0.411,0.3061,0.2206,0.1703,0.0283
158,0.1581,0.3966,0.278,0.2355,0.1072,0.0206
159,0.1811,0.3721,0.2455,0.242,0.0476,0.0148
160,0.1842,0.3323,0.1982,0.2308,0.0157,0.0087
161,0.1488,0.2654,0.1459,0.1932,0.0298,0.0042
162,0.1348,0.1901,0.0871,0.1629,0.081,0.0024
163,0.1268,0.1228,0.0387,0.1352,0.191,0.0033
164,0.1099,0.0696,0.0088,0.1035,0.3335,0.0094
165,0.0917,0.0379,0.0,0.0761,0.4725,0.0222
166,0.0703,0.0217,0.0005,0.0501,0.589,0.0389
167,0.0479,0.0191,0.0101,0.0272,0.6498,0.0562
168,0.0314,0.0165,0.0396,0.0171,0.5929,0.0685
169,0.0179,0.0136,0.1145,0.0083,0.5283,0.0727
170,0.0102,0.0159,0.2323,0.0064,0.5904,0.0685
171,0.0055,0.0331,0.3478,0.015,0.6773,0.0562
172,0.0026,0.0577,0.4348,0.0246,0.74,0.0446
173,0.0015,0.0896,0.5193,0.0358,0.733,0.0417
174,0.0014,0.1332,0.5761,0.0493,0.7639,0.0476
175,0.0013,0.1829,0.6024,0.0628,0.7904,0.0605
176,0.0023,0.2338,0.6163,0.0755,0.7677,0.0748
177,0.0048,0.2909,0.6376,0.0928,0.774,0.0873
178,0.0018,0.3556,0.6853,0.1111,0.7884,0.0914
179,0.0029,0.4064,0.6678,0.1278,0.8118,0.0838
180,0.0027,0.4329,0.6349,0.1353,0.8174,0.0754
181,0.0027,0.4481,0.6059,0.1392,0.8314,0.0716
182,0.0071,0.4528,0.5774,0.1398,0.825,0.0737
183,0.0079,0.458,0.5787,0.1402,0.8048,0.0759
184,0.0101,0.4637,0.5887,0.1403,0.8312,0.0732
185,0.0158,0.4656,0.5874,0.1414,0.8411,0.069
186,0.0234,0.471,0.5682,0.1445,0.8518,0.0649
187,0.0326,0.4786,0.5921,0.1506,0.8502,0.0629
188,0.0425,0.4843,0.5961,0.158,0.8394,0.0624
189,0.0528,0.4748,0.5973,0.1603,0.8392,0.07
190,0.0574,0.4514,0.5866,0.1547,0.8367,0.0879
191,0.0507,0.4308,0.5604,0.1417,0.8246,0.106
192,0.0328,0.4073,0.5285,0.1257,0.7965,0.1182
193,0.0162,0.3855,0.5078,0.1106,0.7847,0.1254
194,0.0092,0.3577,0.4948,0.0985,0.7989,0.1276
195,0.0086,0.3299,0.4696,0.0895,0.7603,0.1196
196,0.0118,0.3078,0.4836,0.0819,0.6799,0.1086
197,0.0183,0.2839,0.4662,0.0761,0.6574,0.1147
198,0.0253,0.2636,0.4272,0.0732,0.569,0.1382
199,0.0288,0.2484,0.4067,0.0711,0.4796,0.1721
200,0.0273,0.2302,0.3847,0.0652,0.4187,0.2146
201,0.02,0.2076,0.3609,0.0575,0.3898,0.2517
202,0.0075,0.1934,0.3334,0.0478,0.3333,0.272
203,0.0023,0.1848,0.3201,0.0435,0.2796,0.2697
204,0.0009,0.1765,0.3175,0.0415,0.2205,0.2472
205,0.0022,0.167,0.3122,0.0403,0.1816,0.2008
206,0.0108,0.1559,0.301,0.0418,0.137,0.166
207,0.0244,0.1434,0.2703,0.0462,0.1157,0.1592
208,0.0392,0.1256,0.225,0.051,0.1509,0.1894
209,0.0507,0.1037,0.1903,0.0535,0.2316,0.2628
210,0.0585,0.0828,0.1539,0.0534,0.3313,0.3328
211,0.0618,0.0663,0.1284,0.0514,0.4015,0.3303
212,0.0639,0.0547,0.106,0.0508,0.4265,0.3495
213,0.0702,0.0489,0.0982,0.056,0.4351,0.4083
214,0.0736,0.0473,0.1125,0.061,0.438,0.4888
215,0.0649,0.0499,0.1349,0.0599,0.4763,0.578
216,0.0455,0.0543,0.1368,0.0514,0.5513,0.6401
217,0.0331,0.0549,0.1289,0.0444,0.6185,0.766
218,0.0336,0.0575,0.1435,0.0471,0.6774,0.7526
219,0.0384,0.0559,0.1613,0.0526,0.7173,0.7189
220,0.0488,0.0544,0.1725,0.0616,0.7241,0.7584
221,0.0674,0.059,0.1892,0.0759,0.7556,0.7536
222,0.0701,0.0716,0.2195,0.0844,0.8246,0.7901
223,0.0562,0.0844,0.2576,0.0792,0.8705,0.8489
224,0.0476,0.0933,0.2811,0.0746,0.921,0.8861
225,0.0467,0.1063,0.2923,0.0811,0.9501,0.8892
226,0.0555,0.1287,0.3187,0.1001,0.9641,0.8785
227,0.0873,0.1554,0.3649,0.1313,0.9722,0.8706
228,0.1242,0.195,0.4192,0.1672,0.9765,0.8734
229,0.1565,0.2521,0.4963,0.2091,0.9796,0.8887
230,0.1952,0.3024,0.5555,0.2459,0.983,0.8907
231,0.2173,0.3268,0.59,0.2615,0.9854,0.8942
232,0.2222,0.3353,0.6086,0.2622,0.9862,0.906
233,0.1998,0.3477,0.6114,0.2541,0.9865,0.9142
234,0.1388,0.3663,0.6436,0.2255,0.9873,0.9286
235,0.1363,0.3678,0.676,0.2187,0.9885,0.929
236,0.2258,0.365,0.6761,0.2733,0.9891,0.9366
237,0.2797,0.3941,0.6637,0.3221,0.9891,0.941
238,0.2893,0.4332,0.6725,0.3429,0.9872,0.9464
239,0.2863,0.4595,0.6974,0.346,0.9832,0.9529
240,0.2925,0.4838,0.724,0.3566,0.9773,0.9539
241,0.3138,0.5175,0.7388,0.3847,0.9663,0.9564
242,0.355,0.5483,0.7575,0.4193,0.9466,0.9594
243,0.3877,0.5641,0.7688,0.4404,0.9336,0.9653
244,0.4264,0.5807,0.779,0.4678,0.9342,0.9718
245,0.4735,0.6109,0.7926,0.5065,0.9283,0.975
246,0.488,0.6378,0.8102,0.5252,0.9257,0.9755
247,0.4853,0.6704,0.8328,0.5394,0.9412,0.9738
248,0.5039,0.703,0.8543,0.5632,0.9486,0.9723
249,0.4817,0.7418,0.8791,0.5702,0.9536,0.9738
250,0.4905,0.7732,0.9048,0.5779,0.9661,0.9763
251,0.5179,0.7956,0.9224,0.5934,0.975,0.9777
252,0.5383,0.8066,0.9323,0.6048,0.9785,0.9782
253,0.5478,0.8086,0.9433,0.6092,0.9795,0.9793
254,0.5564,0.8138,0.9568,0.6142,0.9808,0.9811
255,0.5771,0.8243,0.9562,0.6278,0.9824,0.9815
256,0.6027,0.8336,0.9558,0.6427,0.9817,0.9809
257,0.6223,0.8375,0.9566,0.6542,0.9803,0.981
258,0.6346,0.8435,0.9562,0.666,0.9809,0.9821
259,0.6485,0.8451,0.9539,0.6763,0.9806,0.9826
260,0.645,0.842,0.953,0.6763,0.9817,0.9812
261,0.6655,0.8413,0.9524,0.6925,0.9836,0.9807
262,0.7238,0.8455,0.9543,0.7247,0.9836,0.9812
263,0.7983,0.8549,0.9579,0.7814,0.9828,0.9802
264,0.8077,0.8602,0.9596,0.7966,0.9774,0.9716
265,0.8089,0.865,0.9594,0.8014,0.9708,0.9529
266,0.8157,0.8747,0.962,0.8122,0.9684,0.9301
267,0.82,0.8798,0.9614,0.8155,0.97,0.8917
268,0.8197,0.8797,0.9606,0.8142,0.9725,0.8002
269,0.8176,0.881,0.9628,0.8128,0.974,0.7326
270,0.8151,0.8825,0.9639,0.8098,0.9701,0.6338
271,0.8148,0.8833,0.9605,0.8082,0.97,0.4665
272,0.8156,0.8813,0.9566,0.8078,0.9603,0.3004
273,0.8232,0.8777,0.9549,0.8123,0.9415,0.1703
274,0.8264,0.8712,0.954,0.8131,0.9277,0.1444
275,0.815,0.8608,0.9425,0.8028,0.9042,0.1501
276,0.8168,0.8499,0.9256,0.7982,0.8755,0.1525
277,0.8206,0.8399,0.9117,0.7977,0.8397,0.1558
278,0.8308,0.8342,0.8986,0.8027,0.7978,0.1651
279,0.8209,0.8367,0.8771,0.7973,0.7813,0.2008
280,0.8148,0.8298,0.8636,0.7971,0.7615,0.2651
281,0.8204,0.8137,0.8534,0.8018,0.7498,0.292
282,0.8877,0.7992,0.8447,0.8407,0.7424,0.2472
283,0.8798,0.7858,0.8283,0.8252,0.7118,0.2238
284,0.8747,0.7734,0.7931,0.8129,0.7166,0.1811
285,0.8819,0.7708,0.6896,0.8206,0.7301,0.1492
286,0.874,0.7734,0.6134,0.8128,0.7295,0.1313
287,0.8577,0.7329,0.5682,0.7838,0.7314,0.1168
288,0.815,0.6864,0.5064,0.7442,0.7348,0.1086
289,0.7601,0.6372,0.4393,0.674,0.7488,0.1204
290,0.7159,0.608,0.3799,0.6362,0.7685,0.155
291,0.6645,0.5824,0.3736,0.5979,0.7603,0.1857
292,0.6039,0.5702,0.3666,0.5523,0.762,0.2301
293,0.5523,0.5531,0.3405,0.523,0.7681,0.2483
294,0.5267,0.5483,0.3261,0.5003,0.7776,0.2238
295,0.5086,0.5533,0.3404,0.4982,0.788,0.2008
296,0.4725,0.5549,0.3547,0.4788,0.7831,0.1766
297,0.4099,0.511,0.3632,0.4342,0.7905,0.1583
298,0.3615,0.4905,0.338,0.3958,0.7836,0.1382
299,0.3168,0.4366,0.309,0.348,0.7748,0.1175
300,0.305,0.3871,0.2587,0.315,0.7611,0.108
301,0.2673,0.3574,0.2241,0.2825,0.727,0.112
302,0.252,0.3132,0.2097,0.2547,0.704,0.1225
303,0.2697,0.2776,0.2061,0.2523,0.702,0.1525
304,0.2831,0.2571,0.2059,0.2564,0.6821,0.1866
305,0.3015,0.2447,0.1928,0.2608,0.6822,0.2018
306,0.3125,0.2311,0.1873,0.267,0.6894,0.2096
307,0.3198,0.2031,0.1753,0.2593,0.6906,0.2047
308,0.2698,0.1705,0.1505,0.2234,0.6769,0.1766
309,0.214,0.1424,0.1205,0.1837,0.6434,0.1359
310,0.1854,0.1142,0.0925,0.1565,0.6021,0.1021
311,0.1602,0.0931,0.0614,0.1322,0.5294,0.0855
312,0.1216,0.0767,0.0339,0.105,0.4412,0.0743
313,0.0954,0.0637,0.0163,0.0856,0.3387,0.0571
314,0.0813,0.0524,0.0079,0.073,0.2487,0.0342
315,0.0757,0.0416,0.0026,0.0658,0.1834,0.029
316,0.0736,0.0348,0.0004,0.0633,0.1243,0.0357
317,0.0716,0.0314,0.0001,0.0636,0.0795,0.0855
318,0.0697,0.032,0.0,0.0647,0.0506,0.2028
319,0.0651,0.0334,0.0001,0.0637,0.0355,0.3495
320,0.0602,0.032,0.0001,0.06,0.0289,0.4818
321,0.0569,0.0277,0.0001,0.0558,0.0314,0.6148
322,0.0396,0.0228,0.0001,0.0447,0.0432,0.7125
323,0.024,0.0185,0.0001,0.0336,0.0533,0.7876
324,0.021,0.0148,0.0001,0.0298,0.058,0.8353
325,0.0198,0.0125,0.0003,0.0271,0.0581,0.8723
326,0.0208,0.0106,0.0006,0.026,0.0516,0.8834
327,0.0216,0.0084,0.0007,0.0239,0.0415,0.8734
328,0.0338,0.0049,0.0003,0.0254,0.0306,0.8807
329,0.0649,0.0019,0.0,0.0368,0.0275,0.8774
330,0.1105,0.0014,0.0,0.0599,0.026,0.8829
331,0.1674,0.0015,0.0,0.0928,0.0237,0.8986
332,0.2212,0.0014,0.0,0.1255,0.0246,0.91
333,0.2546,0.0041,0.0001,0.1529,0.0347,0.9138
334,0.259,0.013,0.0008,0.167,0.0612,0.9231
