country,Distributed Energy,Global Ambition,National Trends
NO,3.069 (23.34),3.338 (21.68),3.666 (23.50)
DK,1.298 (9.87),1.369 (8.89),1.198 (7.68)
DE,2.761 (21.00),2.127 (13.81),2.643 (16.95)
UK,3.959 (30.11),5.104 (33.14),5.020 (32.18)
NL,1.597 (12.14),2.692 (17.48),2.242 (14.37)
BE,0.464 (3.53),0.769 (4.99),0.829 (5.32)
