,Distributed Energy,Global Ambition,National Trends
investment_2030,14335117142.39454,17179993091.13744,17465806156.16619
operational_2030,1027471860482.63,1380463758320.323,802200275117.5955
total_2030,1041806977625.0245,1397643751411.4604,819666081273.7616
