,Distributed Energy,Global Ambition,National Trends
investment_2030,6606835384.255418,10080663126.86819,10498883622.26645
operational_2030,1021745154545.268,1367800765483.85,798115267630.3813
total_2030,1028351989929.5233,1377881428610.7183,808614151252.6478
