,Distributed Energy,Global Ambition,National Trends
investment_2030,17061464472.07472,19658892928.74807,19351683697.87991
operational_2030,1030647319991.49,1386897504520.014,804873582199.6226
total_2030,1047708784463.5647,1406556397448.762,824225265897.5024
