,2030
0,44923948.3456739
1,87463109.67788713
2,0.0
3,0.0
4,2560142076.0951967
5,5091207803.150078
6,866481524.7430062
7,44923948.3456739
8,44923948.3456739
9,131194664.51683067
10,218657774.1947178
11,3547315828.9481897
12,439264519.19069475
13,44923948.3456739
14,437315548.3894355
15,3051140684.69649
16,44923948.3456739
17,31446763.841971725
18,218657774.1947178
19,218657774.1947178
20,1121398067.1623132
21,31446763.841971815
22,131194664.51683064
23,1668099147.064076
24,44923948.3456739
25,44923948.3456739
26,437315548.3894355
27,437315548.3894355
28,0.0
29,0.0
30,0.0
31,0.0
