Node;Scenario;Year;Parameter;Fuel;Value
DE00;Distributed Energy;2030;Capacity (MW);Wind Onshore;24374.0
DE00;Distributed Energy;2040;Capacity (MW);Solar;28676.0
DE00;Distributed Energy;2040;Capacity (MW);Wind Onshore;64998.0
DE00;Global Ambition;2030;Capacity (MW);Wind Onshore;19495.0
DE00;Global Ambition;2040;Capacity (MW);Wind Onshore;50361.0
DE00;Distributed Energy;2040;Capacity (MW);Solar;1912.0
DE00;Distributed Energy;2040;Capacity (MW);Wind Offshore;798.0
DE00;Distributed Energy;2030;Capacity (MW);Solar;71575.0
DE00;Distributed Energy;2040;Capacity (MW);Solar;139594.0
DE00;Global Ambition;2030;Capacity (MW);Solar;39022.0
DE00;Global Ambition;2040;Capacity (MW);Solar;66054.0
DE00;National Trends;2030;Capacity (MW);Wind Offshore;336.0
DE00;National Trends;2040;Capacity (MW);Wind Offshore;336.0
DKE1;Distributed Energy;2030;Capacity (MW);Gas;257.0
DKE1;Distributed Energy;2030;Capacity (MW);Oil;588.0
DKE1;Distributed Energy;2030;Capacity (MW);Other Non RES;23.0
DKE1;Distributed Energy;2030;Capacity (MW);Other RES;1369.0
DKE1;Distributed Energy;2030;Capacity (MW);Solar;1542.0
DKE1;Distributed Energy;2030;Capacity (MW);Wind Offshore;2961.0
DKE1;Distributed Energy;2030;Capacity (MW);Wind Onshore;1864.0
DKE1;Distributed Energy;2040;Capacity (MW);Gas;2048.0
DKE1;Distributed Energy;2040;Capacity (MW);Oil;588.0
DKE1;Distributed Energy;2040;Capacity (MW);Other Non RES;18.0
DKE1;Distributed Energy;2040;Capacity (MW);Other RES;1101.0
DKE1;Distributed Energy;2040;Capacity (MW);Solar;2219.0
DKE1;Distributed Energy;2040;Capacity (MW);Wind Offshore;5173.0
DKE1;Distributed Energy;2040;Capacity (MW);Wind Onshore;1864.0
DKE1;Global Ambition;2030;Capacity (MW);Gas;257.0
DKE1;Global Ambition;2030;Capacity (MW);Oil;588.0
DKE1;Global Ambition;2030;Capacity (MW);Other Non RES;23.0
DKE1;Global Ambition;2030;Capacity (MW);Other RES;1369.0
DKE1;Global Ambition;2030;Capacity (MW);Solar;1080.0
DKE1;Global Ambition;2030;Capacity (MW);Wind Offshore;4319.0
DKE1;Global Ambition;2030;Capacity (MW);Wind Onshore;1864.0
DKE1;Global Ambition;2040;Capacity (MW);Gas;257.0
DKE1;Global Ambition;2040;Capacity (MW);Oil;588.0
DKE1;Global Ambition;2040;Capacity (MW);Other Non RES;18.0
DKE1;Global Ambition;2040;Capacity (MW);Other RES;1101.0
DKE1;Global Ambition;2040;Capacity (MW);Solar;1554.0
DKE1;Global Ambition;2040;Capacity (MW);Wind Offshore;6117.0
DKE1;Global Ambition;2040;Capacity (MW);Wind Onshore;1864.0
DKE1;National Trends;2030;Capacity (MW);Biofuels;1228.0
DKE1;National Trends;2030;Capacity (MW);Gas;257.0
DKE1;National Trends;2030;Capacity (MW);Oil;593.0
DKE1;National Trends;2030;Capacity (MW);Other Non RES;102.0
DKE1;National Trends;2030;Capacity (MW);Other RES;18.0
DKE1;National Trends;2030;Capacity (MW);Solar;2348.0
DKE1;National Trends;2030;Capacity (MW);Wind Offshore;2708.0
DKE1;National Trends;2030;Capacity (MW);Wind Onshore;819.0
DKE1;National Trends;2040;Capacity (MW);Biofuels;960.0
DKE1;National Trends;2040;Capacity (MW);Gas;257.0
DKE1;National Trends;2040;Capacity (MW);Oil;593.0
DKE1;National Trends;2040;Capacity (MW);Other Non RES;100.0
DKE1;National Trends;2040;Capacity (MW);Other RES;18.0
DKE1;National Trends;2040;Capacity (MW);Solar;3484.0
DKE1;National Trends;2040;Capacity (MW);Wind Offshore;3490.0
DKE1;National Trends;2040;Capacity (MW);Wind Onshore;584.0
DKE1;Distributed Energy;2030;Capacity (MW);Solar;2557.0
DKE1;Distributed Energy;2030;Capacity (MW);Wind Onshore;481.0
DKE1;Distributed Energy;2040;Capacity (MW);Solar;5519.0
DKE1;Distributed Energy;2040;Capacity (MW);Wind Onshore;722.0
DKE1;Global Ambition;2030;Capacity (MW);Solar;463.0
DKE1;Global Ambition;2030;Capacity (MW);Wind Onshore;227.0
DKE1;Global Ambition;2040;Capacity (MW);Solar;463.0
DKE1;Global Ambition;2040;Capacity (MW);Wind Onshore;605.0
DKE1;Distributed Energy;2040;Capacity (MW);Solar;1298.0
DKE1;Distributed Energy;2040;Capacity (MW);Wind Offshore;271.0
DKE1;Distributed Energy;2040;Capacity (MW);Wind Onshore;561.0
DKE1;Distributed Energy;2030;Capacity (MW);Solar;2405.0
DKE1;Distributed Energy;2040;Capacity (MW);Solar;2802.0
DKE1;Global Ambition;2030;Capacity (MW);Solar;662.0
DKE1;Global Ambition;2040;Capacity (MW);Solar;940.0
DKKF;Distributed Energy;2030;Capacity (MW);Wind Offshore;605.0
DKKF;Distributed Energy;2040;Capacity (MW);Wind Offshore;605.0
DKKF;Global Ambition;2030;Capacity (MW);Wind Offshore;605.0
DKKF;Global Ambition;2040;Capacity (MW);Wind Offshore;605.0
DKKF;National Trends;2030;Capacity (MW);Wind Offshore;605.0
DKKF;National Trends;2040;Capacity (MW);Wind Offshore;605.0
DKW1;Distributed Energy;2030;Capacity (MW);Gas;1067.0
DKW1;Distributed Energy;2030;Capacity (MW);Oil;223.0
DKW1;Distributed Energy;2030;Capacity (MW);Other Non RES;38.0
DKW1;Distributed Energy;2030;Capacity (MW);Other RES;1137.0
DKW1;Distributed Energy;2030;Capacity (MW);Solar;2534.0
DKW1;Distributed Energy;2030;Capacity (MW);Wind Offshore;9577.0
DKW1;Distributed Energy;2030;Capacity (MW);Wind Onshore;3062.0
DKW1;Distributed Energy;2040;Capacity (MW);Gas;3361.0
DKW1;Distributed Energy;2040;Capacity (MW);Oil;209.0
DKW1;Distributed Energy;2040;Capacity (MW);Other Non RES;29.0
DKW1;Distributed Energy;2040;Capacity (MW);Other RES;622.0
DKW1;Distributed Energy;2040;Capacity (MW);Solar;3646.0
DKW1;Distributed Energy;2040;Capacity (MW);Wind Offshore;15338.0
DKW1;Distributed Energy;2040;Capacity (MW);Wind Onshore;3062.0
DKW1;Global Ambition;2030;Capacity (MW);Gas;1067.0
DKW1;Global Ambition;2030;Capacity (MW);Oil;223.0
DKW1;Global Ambition;2030;Capacity (MW);Other Non RES;38.0
DKW1;Global Ambition;2030;Capacity (MW);Other RES;1137.0
DKW1;Global Ambition;2030;Capacity (MW);Solar;1773.0
DKW1;Global Ambition;2030;Capacity (MW);Wind Offshore;10330.0
DKW1;Global Ambition;2030;Capacity (MW);Wind Onshore;3062.0
DKW1;Global Ambition;2040;Capacity (MW);Gas;341.0
DKW1;Global Ambition;2040;Capacity (MW);Oil;209.0
DKW1;Global Ambition;2040;Capacity (MW);Other Non RES;29.0
DKW1;Global Ambition;2040;Capacity (MW);Other RES;622.0
DKW1;Global Ambition;2040;Capacity (MW);Solar;2552.0
DKW1;Global Ambition;2040;Capacity (MW);Wind Offshore;18800.0
DKW1;Global Ambition;2040;Capacity (MW);Wind Onshore;3062.0
DKW1;National Trends;2030;Capacity (MW);Biofuels;857.0
DKW1;National Trends;2030;Capacity (MW);Gas;1067.0
DKW1;National Trends;2030;Capacity (MW);Oil;223.0
DKW1;National Trends;2030;Capacity (MW);Other Non RES;238.0
DKW1;National Trends;2030;Capacity (MW);Other RES;137.0
DKW1;National Trends;2030;Capacity (MW);Solar;4119.0
DKW1;National Trends;2030;Capacity (MW);Wind Offshore;3517.0
DKW1;National Trends;2030;Capacity (MW);Wind Onshore;5338.0
DKW1;National Trends;2040;Capacity (MW);Biofuels;345.0
DKW1;National Trends;2040;Capacity (MW);Gas;341.0
DKW1;National Trends;2040;Capacity (MW);Oil;209.0
DKW1;National Trends;2040;Capacity (MW);Other Non RES;210.0
DKW1;National Trends;2040;Capacity (MW);Other RES;134.0
DKW1;National Trends;2040;Capacity (MW);Solar;5823.0
DKW1;National Trends;2040;Capacity (MW);Wind Offshore;7487.0
DKW1;National Trends;2040;Capacity (MW);Wind Onshore;4617.0
DKW1;Distributed Energy;2030;Capacity (MW);Solar;4200.0
DKW1;Distributed Energy;2030;Capacity (MW);Wind Onshore;651.0
DKW1;Distributed Energy;2040;Capacity (MW);Solar;5317.0
DKW1;Distributed Energy;2040;Capacity (MW);Wind Onshore;1829.0
DKW1;Global Ambition;2030;Capacity (MW);Solar;760.0
DKW1;Global Ambition;2030;Capacity (MW);Wind Onshore;373.0
DKW1;Global Ambition;2040;Capacity (MW);Solar;760.0
DKW1;Global Ambition;2040;Capacity (MW);Wind Onshore;746.0
DKW1;Distributed Energy;2040;Capacity (MW);Solar;5883.0
DKW1;Distributed Energy;2040;Capacity (MW);Wind Offshore;6210.0
DKW1;Global Ambition;2040;Capacity (MW);Wind Offshore;956.0
DKW1;Global Ambition;2040;Capacity (MW);Wind Offshore;615.0
DKW1;Distributed Energy;2030;Capacity (MW);Solar;3951.0
DKW1;Distributed Energy;2040;Capacity (MW);Solar;4604.0
DKW1;Global Ambition;2030;Capacity (MW);Solar;1487.0
DKW1;Global Ambition;2040;Capacity (MW);Solar;1944.0
NL00;Distributed Energy;2030;Capacity (MW);Gas;13961.0
NL00;Distributed Energy;2030;Capacity (MW);Hydro;38.0
NL00;Distributed Energy;2030;Capacity (MW);Nuclear;486.0
NL00;Distributed Energy;2030;Capacity (MW);Other Non RES;1797.0
NL00;Distributed Energy;2030;Capacity (MW);Other RES;3900.0
NL00;Distributed Energy;2030;Capacity (MW);Solar;21433.0
NL00;Distributed Energy;2030;Capacity (MW);Wind Offshore;14000.0
NL00;Distributed Energy;2030;Capacity (MW);Wind Onshore;6381.0
NL00;Distributed Energy;2040;Capacity (MW);Gas;43230.0
NL00;Distributed Energy;2040;Capacity (MW);Hydro;38.0
NL00;Distributed Energy;2040;Capacity (MW);Other Non RES;917.0
NL00;Distributed Energy;2040;Capacity (MW);Other RES;600.0
NL00;Distributed Energy;2040;Capacity (MW);Solar;28183.0
NL00;Distributed Energy;2040;Capacity (MW);Wind Offshore;39000.0
NL00;Distributed Energy;2040;Capacity (MW);Wind Onshore;7342.0
NL00;Global Ambition;2030;Capacity (MW);Gas;12304.0
NL00;Global Ambition;2030;Capacity (MW);Hydro;38.0
NL00;Global Ambition;2030;Capacity (MW);Nuclear;486.0
NL00;Global Ambition;2030;Capacity (MW);Other Non RES;1797.0
NL00;Global Ambition;2030;Capacity (MW);Other RES;3900.0
NL00;Global Ambition;2030;Capacity (MW);Solar;20607.0
NL00;Global Ambition;2030;Capacity (MW);Wind Offshore;19000.0
NL00;Global Ambition;2030;Capacity (MW);Wind Onshore;6381.0
NL00;Global Ambition;2040;Capacity (MW);Gas;22629.0
NL00;Global Ambition;2040;Capacity (MW);Hydro;38.0
NL00;Global Ambition;2040;Capacity (MW);Other Non RES;917.0
NL00;Global Ambition;2040;Capacity (MW);Other RES;600.0
NL00;Global Ambition;2040;Capacity (MW);Solar;30312.0
NL00;Global Ambition;2040;Capacity (MW);Wind Offshore;50000.0
NL00;Global Ambition;2040;Capacity (MW);Wind Onshore;8423.0
NL00;National Trends;2030;Capacity (MW);Biofuels;650.0
NL00;National Trends;2030;Capacity (MW);Gas;10615.0
NL00;National Trends;2030;Capacity (MW);Hydro;38.0
NL00;National Trends;2030;Capacity (MW);Nuclear;486.0
NL00;National Trends;2030;Capacity (MW);Other Non RES;3817.0
NL00;National Trends;2030;Capacity (MW);Other RES;600.0
NL00;National Trends;2030;Capacity (MW);Solar;27264.0
NL00;National Trends;2030;Capacity (MW);Wind Offshore;11470.0
NL00;National Trends;2030;Capacity (MW);Wind Onshore;7976.0
NL00;National Trends;2040;Capacity (MW);Gas;20844.0
NL00;National Trends;2040;Capacity (MW);Hydro;38.0
NL00;National Trends;2040;Capacity (MW);Other Non RES;3663.0
NL00;National Trends;2040;Capacity (MW);Other RES;600.0
NL00;National Trends;2040;Capacity (MW);Solar;41918.0
NL00;National Trends;2040;Capacity (MW);Wind Offshore;30050.0
NL00;National Trends;2040;Capacity (MW);Wind Onshore;10488.0
NL00;Distributed Energy;2030;Capacity (MW);Solar;7067.0
NL00;Distributed Energy;2030;Capacity (MW);Wind Onshore;3097.0
NL00;Distributed Energy;2040;Capacity (MW);Solar;16117.0
NL00;Distributed Energy;2040;Capacity (MW);Wind Onshore;8259.0
NL00;Global Ambition;2030;Capacity (MW);Solar;7092.0
NL00;Global Ambition;2030;Capacity (MW);Wind Onshore;2497.0
NL00;Global Ambition;2040;Capacity (MW);Solar;6788.0
NL00;Global Ambition;2040;Capacity (MW);Wind Onshore;5398.0
NL00;Distributed Energy;2030;Capacity (MW);Solar;21918.0
NL00;Distributed Energy;2040;Capacity (MW);Solar;32614.0
NL00;Global Ambition;2030;Capacity (MW);Solar;19482.0
NL00;Global Ambition;2040;Capacity (MW);Solar;26900.0
NOM1;Distributed Energy;2030;Capacity (MW);Hydro;4456.0
NOM1;Distributed Energy;2030;Capacity (MW);Other Non RES;20.0
NOM1;Distributed Energy;2030;Capacity (MW);Solar;90.0
NOM1;Distributed Energy;2030;Capacity (MW);Wind Onshore;3757.0
NOM1;Distributed Energy;2040;Capacity (MW);Hydro;4456.0
NOM1;Distributed Energy;2040;Capacity (MW);Other Non RES;20.0
NOM1;Distributed Energy;2040;Capacity (MW);Solar;90.0
NOM1;Distributed Energy;2040;Capacity (MW);Wind Onshore;3843.0
NOM1;Global Ambition;2030;Capacity (MW);Hydro;4456.0
NOM1;Global Ambition;2030;Capacity (MW);Other Non RES;20.0
NOM1;Global Ambition;2030;Capacity (MW);Solar;90.0
NOM1;Global Ambition;2030;Capacity (MW);Wind Onshore;3472.0
NOM1;Global Ambition;2040;Capacity (MW);Hydro;4456.0
NOM1;Global Ambition;2040;Capacity (MW);Other Non RES;20.0
NOM1;Global Ambition;2040;Capacity (MW);Solar;90.0
NOM1;Global Ambition;2040;Capacity (MW);Wind Onshore;3558.0
NOM1;National Trends;2030;Capacity (MW);Hydro;4456.0
NOM1;National Trends;2030;Capacity (MW);Other Non RES;20.0
NOM1;National Trends;2030;Capacity (MW);Solar;74.0
NOM1;National Trends;2030;Capacity (MW);Wind Onshore;2254.0
NOM1;National Trends;2040;Capacity (MW);Hydro;4456.0
NOM1;National Trends;2040;Capacity (MW);Other Non RES;20.0
NOM1;National Trends;2040;Capacity (MW);Solar;71.0
NOM1;National Trends;2040;Capacity (MW);Wind Onshore;1938.0
NON1;Distributed Energy;2030;Capacity (MW);Hydro;5293.0
NON1;Distributed Energy;2030;Capacity (MW);Other Non RES;195.0
NON1;Distributed Energy;2030;Capacity (MW);Other RES;0.0
NON1;Distributed Energy;2030;Capacity (MW);Wind Onshore;2944.0
NON1;Distributed Energy;2040;Capacity (MW);Hydro;5273.0
NON1;Distributed Energy;2040;Capacity (MW);Other Non RES;195.0
NON1;Distributed Energy;2040;Capacity (MW);Other RES;0.0
NON1;Distributed Energy;2040;Capacity (MW);Wind Onshore;4207.0
NON1;Global Ambition;2030;Capacity (MW);Hydro;5293.0
NON1;Global Ambition;2030;Capacity (MW);Other Non RES;195.0
NON1;Global Ambition;2030;Capacity (MW);Other RES;0.0
NON1;Global Ambition;2030;Capacity (MW);Wind Onshore;2120.0
NON1;Global Ambition;2040;Capacity (MW);Hydro;5273.0
NON1;Global Ambition;2040;Capacity (MW);Other Non RES;195.0
NON1;Global Ambition;2040;Capacity (MW);Other RES;0.0
NON1;Global Ambition;2040;Capacity (MW);Wind Onshore;3758.0
NON1;National Trends;2030;Capacity (MW);Hydro;5293.0
NON1;National Trends;2030;Capacity (MW);Other Non RES;195.0
NON1;National Trends;2030;Capacity (MW);Other RES;0.0
NON1;National Trends;2030;Capacity (MW);Wind Onshore;1368.0
NON1;National Trends;2040;Capacity (MW);Hydro;5273.0
NON1;National Trends;2040;Capacity (MW);Other Non RES;195.0
NON1;National Trends;2040;Capacity (MW);Wind Onshore;1193.0
NOS0;Distributed Energy;2030;Capacity (MW);Hydro;23612.0
NOS0;Distributed Energy;2030;Capacity (MW);Other Non RES;50.0
NOS0;Distributed Energy;2030;Capacity (MW);Solar;243.0
NOS0;Distributed Energy;2030;Capacity (MW);Wind Offshore;483.0
NOS0;Distributed Energy;2030;Capacity (MW);Wind Onshore;4491.0
NOS0;Distributed Energy;2040;Capacity (MW);Gas;878.0
NOS0;Distributed Energy;2040;Capacity (MW);Hydro;23492.0
NOS0;Distributed Energy;2040;Capacity (MW);Other Non RES;50.0
NOS0;Distributed Energy;2040;Capacity (MW);Solar;243.0
NOS0;Distributed Energy;2040;Capacity (MW);Wind Offshore;846.0
NOS0;Distributed Energy;2040;Capacity (MW);Wind Onshore;6498.0
NOS0;Global Ambition;2030;Capacity (MW);Hydro;23612.0
NOS0;Global Ambition;2030;Capacity (MW);Other Non RES;50.0
NOS0;Global Ambition;2030;Capacity (MW);Solar;243.0
NOS0;Global Ambition;2030;Capacity (MW);Wind Offshore;2643.0
NOS0;Global Ambition;2030;Capacity (MW);Wind Onshore;3865.0
NOS0;Global Ambition;2040;Capacity (MW);Hydro;23492.0
NOS0;Global Ambition;2040;Capacity (MW);Other Non RES;50.0
NOS0;Global Ambition;2040;Capacity (MW);Solar;243.0
NOS0;Global Ambition;2040;Capacity (MW);Wind Offshore;3368.0
NOS0;Global Ambition;2040;Capacity (MW);Wind Onshore;5246.0
NOS0;National Trends;2030;Capacity (MW);Hydro;23612.0
NOS0;National Trends;2030;Capacity (MW);Other Non RES;50.0
NOS0;National Trends;2030;Capacity (MW);Solar;526.0
NOS0;National Trends;2030;Capacity (MW);Wind Offshore;200.0
NOS0;National Trends;2030;Capacity (MW);Wind Onshore;2438.0
NOS0;National Trends;2040;Capacity (MW);Hydro;23492.0
NOS0;National Trends;2040;Capacity (MW);Other Non RES;50.0
NOS0;National Trends;2040;Capacity (MW);Solar;329.0
NOS0;National Trends;2040;Capacity (MW);Wind Offshore;400.0
NOS0;National Trends;2040;Capacity (MW);Wind Onshore;2267.0
UK00;Distributed Energy;2030;Capacity (MW);Gas;22931.0
UK00;Distributed Energy;2030;Capacity (MW);Hydro;4839.0
UK00;Distributed Energy;2030;Capacity (MW);Nuclear;4460.0
UK00;Distributed Energy;2030;Capacity (MW);Oil;71.0
UK00;Distributed Energy;2030;Capacity (MW);Other Non RES;3600.0
UK00;Distributed Energy;2030;Capacity (MW);Other RES;6345.0
UK00;Distributed Energy;2030;Capacity (MW);Solar;7896.0
UK00;Distributed Energy;2030;Capacity (MW);Wind Offshore;31020.0
UK00;Distributed Energy;2030;Capacity (MW);Wind Onshore;21272.0
UK00;Distributed Energy;2040;Capacity (MW);Gas;51410.0
UK00;Distributed Energy;2040;Capacity (MW);Hydro;5035.0
UK00;Distributed Energy;2040;Capacity (MW);Nuclear;4460.0
UK00;Distributed Energy;2040;Capacity (MW);Oil;71.0
UK00;Distributed Energy;2040;Capacity (MW);Other Non RES;2985.0
UK00;Distributed Energy;2040;Capacity (MW);Other RES;9714.0
UK00;Distributed Energy;2040;Capacity (MW);Solar;15271.0
UK00;Distributed Energy;2040;Capacity (MW);Wind Offshore;57520.0
UK00;Distributed Energy;2040;Capacity (MW);Wind Onshore;27829.0
UK00;Global Ambition;2030;Capacity (MW);Gas;20374.0
UK00;Global Ambition;2030;Capacity (MW);Hydro;4839.0
UK00;Global Ambition;2030;Capacity (MW);Nuclear;7658.0
UK00;Global Ambition;2030;Capacity (MW);Oil;71.0
UK00;Global Ambition;2030;Capacity (MW);Other Non RES;3600.0
UK00;Global Ambition;2030;Capacity (MW);Other RES;6345.0
UK00;Global Ambition;2030;Capacity (MW);Solar;5528.0
UK00;Global Ambition;2030;Capacity (MW);Wind Offshore;42553.0
UK00;Global Ambition;2030;Capacity (MW);Wind Onshore;21272.0
UK00;Global Ambition;2040;Capacity (MW);Gas;23005.0
UK00;Global Ambition;2040;Capacity (MW);Hydro;5035.0
UK00;Global Ambition;2040;Capacity (MW);Nuclear;14338.0
UK00;Global Ambition;2040;Capacity (MW);Oil;71.0
UK00;Global Ambition;2040;Capacity (MW);Other Non RES;2985.0
UK00;Global Ambition;2040;Capacity (MW);Other RES;9714.0
UK00;Global Ambition;2040;Capacity (MW);Solar;10690.0
UK00;Global Ambition;2040;Capacity (MW);Wind Offshore;68052.0
UK00;Global Ambition;2040;Capacity (MW);Wind Onshore;27829.0
UK00;National Trends;2030;Capacity (MW);Coal & Lignite;3392.0
