Column,Average,Peak
demand_UK,48470.602739726026,75306
demand_DE,83382.20547945205,116083
demand_NO,20170.306849315068,31134
demand_DK,6068.180821917808,8479
demand_NL,21041.11232876712,27246
demand_BE,12500.69589041096,18183
