const,demand_UK,demand_DE,demand_NO,demand_DK,demand_NL,demand_BE,wind_UK,wind_DE,wind_NO,wind_DK,wind_NL,wind_BE,inflow_hydro,solar_UK,solar_DE,solar_NO,solar_DK,solar_NL,solar_BE,fuel_bio,fuel_gas,fuel_hard_coal,fuel_hydro,fuel_lignite,fuel_nuclear,fuel_oil,fuel_solar,fuel_onshore_wind,fuel_wind,fuel_other_non_res,fuel_other_res
1,0.744061,0.481891,0.583751,0.363098,0.643392,0.536812,0.0649,0.0675,0.792,0.3883,0.2414,0.0196,0.7183,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,64.07994874,25.50855102,30,18.5142709,4.834281847,130.547264,0,0,0,100,0
1,0.769075,0.464365,0.625017,0.511522,0.75048,0.703907,0.9777,0.0749,0.0353,0.4454,0.388,0.293,0.9964,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,64.07994874,25.50855102,30,18.5142709,4.834281847,130.547264,0,0,0,100,0
1,0.888452,0.505511,0.559718,0.496745,0.88084,0.868655,0.9802,0.0612,0.0353,0.4958,0.6872,0.3415,0.9964,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,64.07994874,25.50855102,30,18.5142709,4.834281847,130.547264,0,0,0,100,0
1,0.583796,0.581852,0.607504,0.385509,0.837159,0.846579,0.1558,0.0473,0.0307,0.1961,0.186,0.3301,0.9531,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,64.07994874,25.50855102,30,18.5142709,4.834281847,130.547264,0,0,0,100,0
1,0.492218,0.740198,0.599435,0.553181,0.664073,0.676692,0.2008,0.1491,0.8607,0.0292,0.186,0.2612,0.8754,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,64.07994874,25.50855102,30,18.5142709,4.834281847,130.547264,0,0,0,100,0
1,0.360868,0.936024,0.541968,0.33409,0.824978,0.76449,0.2008,0.0547,0.8352,0.0393,0.1688,0.3704,0.7836,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,64.07994874,25.50855102,30,18.5142709,4.834281847,130.547264,0,0,0,100,0
1,0.865609,0.952556,0.589926,0.404212,0.809933,0.906908,0.0342,0.0549,0.1072,0.175,0.2391,0.0837,0.9273,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,64.07994874,25.50855102,30,18.5142709,4.834281847,130.547264,0,0,0,100,0
1,0.398437,0.795316,0.505672,0.477442,0.788752,0.733533,0.4818,0.0575,0.4725,0.6491,0.2322,0.1348,0.9055,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,64.07994874,25.50855102,30,18.5142709,4.834281847,130.547264,0,0,0,100,0
1,0.660129,0.759855,0.524003,0.440037,0.732435,0.888194,0.4818,0.0933,0.5904,0.8221,0.0083,0.0026,0.7756,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,64.07994874,25.50855102,30,18.5142709,4.834281847,130.547264,0,0,0,100,0
1,0.418354,0.573535,0.494742,0.420843,0.686891,0.79272,0.6148,0.3678,0.8174,0.8726,0.1547,0.0158,0.917,0.1085,0.127,0.0978,0.1157,0.1268,0.1266,51.42853029,64.07994874,25.50855102,30,18.5142709,4.834281847,130.547264,0,0,0,100,0
